# Station: FINO1
# Parameter: Windgeschwindigkeit_50m
# Unit: m/s
# Titles:
Time	Value	Minimum	Maximum	Variance	Quality
# Data:
2013-12-20 00:00:00	10.81	8.18	-999	.68	2
2013-12-20 00:10:00	10.65	8.73	-999	.54	2
2013-12-20 00:20:00	10.58	8.78	-999	.68	2
2013-12-20 00:30:00	10.8	9.13	-999	.66	2
2013-12-20 00:40:00	10.58	8.23	-999	.68	2
2013-12-20 00:50:00	10.69	8.98	-999	.67	2
2013-12-20 01:00:00	11.15	9.23	-999	.64	2
2013-12-20 01:10:00	11.27	9.13	-999	.76	2
2013-12-20 01:20:00	12.53	10.49	-999	.72	2
2013-12-20 01:30:00	12.32	9.98	-999	.76	2
2013-12-20 01:40:00	12.02	9.58	-999	.7	2
2013-12-20 01:50:00	12.35	10.24	-999	.73	2
2013-12-20 02:00:00	12.23	9.63	-999	.76	2
2013-12-20 02:10:00	12.26	9.63	-999	.87	2
2013-12-20 02:20:00	12.17	9.98	-999	.86	2
2013-12-20 02:30:00	13.26	10.34	-999	.8	2
2013-12-20 02:40:00	13.53	11.29	-999	.8	2
2013-12-20 02:50:00	12.45	10.44	-999	.94	2
2013-12-20 03:00:00	13.39	11.29	-999	.87	2
2013-12-20 03:10:00	13.54	11.29	-999	.92	2
2013-12-20 03:20:00	13.4	11.24	-999	.77	2
2013-12-20 03:30:00	13.19	10.24	-999	.96	2
2013-12-20 03:40:00	14.2	10.79	-999	.92	2
2013-12-20 03:50:00	14.02	11.09	-999	1.03	2
2013-12-20 04:00:00	13.69	10.14	-999	1.14	2
2013-12-20 04:10:00	14.28	11.39	-999	1.12	2
2013-12-20 04:20:00	14.22	11.89	-999	.93	2
2013-12-20 04:30:00	14.64	11.49	-999	1.04	2
2013-12-20 04:40:00	14.47	11.29	-999	1.11	2
2013-12-20 04:50:00	14.33	11.99	-999	.83	2
2013-12-20 05:00:00	14.22	10.99	-999	1.02	2
2013-12-20 05:10:00	13.35	10.34	-999	.87	2
2013-12-20 05:20:00	13.5	11.09	-999	.82	2
2013-12-20 05:30:00	14.33	11.44	-999	.97	2
2013-12-20 05:40:00	13.93	10.59	-999	.87	2
2013-12-20 05:50:00	14	11.04	-999	1	2
2013-12-20 06:00:00	13.89	10.84	-999	.97	2
2013-12-20 06:10:00	13.89	10.94	-999	1.18	2
2013-12-20 06:20:00	13	9.78	-999	1.1	2
