# Station: FINO1
# Parameter: Windgeschwindigkeit_60m
# Unit: m/s
# Titles:
Time	Value	Minimum	Maximum	Variance	Quality
# Data:
2013-12-20 00:00:00	11	8.82	12.61	.66	2
2013-12-20 00:10:00	10.71	8.72	12.51	.55	2
2013-12-20 00:20:00	10.69	8.98	12.41	.69	2
2013-12-20 00:30:00	10.96	9.08	12.82	.64	2
2013-12-20 00:40:00	10.63	8.77	12.06	.64	2
2013-12-20 00:50:00	10.8	9.18	12.26	.63	2
2013-12-20 01:00:00	11.27	9.38	13.07	.65	2
2013-12-20 01:10:00	11.37	9.03	13.73	.76	2
2013-12-20 01:20:00	12.66	10.74	14.28	.73	2
2013-12-20 01:30:00	12.44	10.49	13.98	.73	2
2013-12-20 01:40:00	12.16	10.09	13.83	.65	2
2013-12-20 01:50:00	12.38	10.24	14.28	.74	2
2013-12-20 02:00:00	12.34	10.34	14.94	.72	2
2013-12-20 02:10:00	12.47	9.83	14.89	.85	2
2013-12-20 02:20:00	12.4	10.09	14.69	.82	2
2013-12-20 02:30:00	13.5	10.54	15.85	.77	2
2013-12-20 02:40:00	13.76	11.1	15.9	.81	2
2013-12-20 02:50:00	12.63	10.54	15.14	.91	2
2013-12-20 03:00:00	13.54	11	16.25	.9	2
2013-12-20 03:10:00	13.68	11.1	16.2	.92	2
2013-12-20 03:20:00	13.65	11.4	15.7	.81	2
2013-12-20 03:30:00	13.36	10.64	15.65	.94	2
2013-12-20 03:40:00	14.39	12.06	16.3	.87	2
2013-12-20 03:50:00	14.15	11.75	16.5	1.01	2
2013-12-20 04:00:00	13.88	10.59	16.71	1.14	2
2013-12-20 04:10:00	14.51	11.91	17.06	1.08	2
2013-12-20 04:20:00	14.42	11.86	16.86	.89	2
2013-12-20 04:30:00	14.72	11.65	17.16	1.01	2
2013-12-20 04:40:00	14.6	11.35	17.16	1.08	2
2013-12-20 04:50:00	14.47	12.41	17.11	.8	2
2013-12-20 05:00:00	14.26	11.65	16.61	.92	2
2013-12-20 05:10:00	13.49	10.74	15.14	.78	2
2013-12-20 05:20:00	13.64	11.4	15.65	.79	2
2013-12-20 05:30:00	14.42	12.11	17.11	.92	2
2013-12-20 05:40:00	14.1	10.95	16.45	.86	2
2013-12-20 05:50:00	14.09	11.65	16.66	.98	2
2013-12-20 06:00:00	14.04	11.3	16.35	.95	2
2013-12-20 06:10:00	14.16	11.25	16.81	1.13	2
2013-12-20 06:20:00	13.15	10.44	16.1	1.11	2
2013-12-20 06:30:00	13.59	11.2	15.44	.74	2
2013-12-20 06:40:00	11.34	9.43	12.97	.7	2
2013-12-20 06:50:00	11.22	9.28	12.87	.72	2
2013-12-20 07:00:00	12.24	10.39	13.98	.65	2
2013-12-20 07:10:00	12.8	9.89	15.34	1	2
2013-12-20 07:20:00	13.58	10.85	15.24	.77	2
2013-12-20 07:30:00	12.99	10.39	14.79	.86	2
2013-12-20 07:40:00	13.5	10.95	15.34	.82	2
2013-12-20 07:50:00	13.92	11.15	15.6	.8	2
2013-12-20 08:00:00	13.74	11.65	15.65	.76	2
2013-12-20 08:10:00	14.28	11	16.05	.97	2
2013-12-20 08:20:00	13.7	11.55	15.34	.71	2
2013-12-20 08:30:00	13.65	11.05	15.34	.84	2
2013-12-20 08:40:00	14.27	11.3	16.5	1	2
2013-12-20 08:50:00	13.8	11.15	15.54	.9	2
2013-12-20 09:00:00	14.12	12.01	16	.79	2
2013-12-20 09:10:00	13.57	11.4	15.29	.68	2
2013-12-20 09:20:00	12.55	10.34	14.94	.83	2
2013-12-20 09:30:00	13.95	11.45	15.65	.67	2
2013-12-20 09:40:00	13.78	11.65	15.7	.58	2
2013-12-20 09:50:00	14.31	11.91	16.05	.71	2
2013-12-20 10:00:00	14.4	12.06	15.85	.71	2
2013-12-20 10:10:00	14.5	12.46	16.05	.6	2
2013-12-20 10:20:00	13.15	10.64	15.29	.9	2
2013-12-20 10:30:00	14.53	12.06	16.66	.81	2
2013-12-20 10:40:00	15.35	12.21	17.26	.96	2
2013-12-20 10:50:00	15.06	12.97	16.81	.84	2
2013-12-20 11:00:00	15.4	12.31	17.36	.82	2
2013-12-20 11:10:00	14.08	11.15	16.56	1.13	2
2013-12-20 11:20:00	14.37	11.35	16.15	.92	2
2013-12-20 11:30:00	13.95	11.25	16.91	1.16	2
2013-12-20 11:40:00	14.69	11.2	17.77	1.65	2
2013-12-20 11:50:00	16.2	12.77	18.07	.83	2
2013-12-20 12:00:00	15.97	12.66	17.97	1.22	2
2013-12-20 12:10:00	14.62	11.65	16.76	1.15	2
2013-12-20 12:20:00	14.94	12.31	17.01	.86	2
2013-12-20 12:30:00	15.52	11.86	18.17	1.04	2
2013-12-20 12:40:00	15.83	12.82	18.83	1.1	2
2013-12-20 12:50:00	15.13	12.36	17.82	.91	2
2013-12-20 13:00:00	14.73	11.7	16.71	1.04	2
2013-12-20 13:10:00	15.02	12.06	17.97	1.14	2
2013-12-20 13:20:00	15.35	12.77	17.97	.86	2
2013-12-20 13:30:00	14.34	11.81	16.45	.85	2
2013-12-20 13:40:00	15.46	12.51	17.11	.81	2
2013-12-20 13:50:00	15.32	12.21	18.12	1.3	2
2013-12-20 14:00:00	15.99	12.31	17.92	1.18	2
2013-12-20 14:10:00	15.21	12.11	18.32	1.25	2
2013-12-20 14:20:00	14.47	11.86	16.66	1	2
2013-12-20 14:30:00	15.35	11.86	18.12	.99	2
2013-12-20 14:40:00	15.72	12.56	18.37	1.08	2
2013-12-20 14:50:00	16.21	12.92	18.22	.93	2
2013-12-20 15:00:00	15.33	12.16	17.21	.94	2
