# Station: FINO1
# Parameter: Windgeschwindigkeit_U_Anemometer_60m
# Unit: m/s
# Titles:
Time	Value	Minimum	Maximum	Variance	Quality
# Data:
2013-12-20 00:00:00	11.28	-999.99	-999.99	.61	2
2013-12-20 00:10:00	10.93	-999.99	-999.99	.61	2
2013-12-20 00:20:00	10.88	-999.99	-999.99	.81	2
2013-12-20 00:30:00	11.21	-999.99	-999.99	.67	2
2013-12-20 00:40:00	10.83	-999.99	-999.99	.63	2
2013-12-20 00:50:00	10.96	-999.99	-999.99	.68	2
2013-12-20 01:00:00	11.5	-999.99	-999.99	.68	2
2013-12-20 01:10:00	11.55	-999.99	-999.99	.84	2
2013-12-20 01:20:00	12.82	-999.99	-999.99	.82	2
2013-12-20 01:30:00	12.59	-999.99	-999.99	.78	2
2013-12-20 01:40:00	12.48	-999.99	-999.99	.63	2
2013-12-20 01:50:00	12.57	-999.99	-999.99	.8	2
2013-12-20 02:00:00	12.52	-999.99	-999.99	.75	2
2013-12-20 02:10:00	12.71	-999.99	-999.99	.81	2
2013-12-20 02:20:00	12.63	-999.99	-999.99	.94	2
2013-12-20 02:30:00	13.7	-999.99	-999.99	.82	2
2013-12-20 02:40:00	13.93	-999.99	-999.99	.84	2
2013-12-20 02:50:00	12.83	-999.99	-999.99	.89	2
2013-12-20 03:00:00	13.72	-999.99	-999.99	.9	2
2013-12-20 03:10:00	13.85	-999.99	-999.99	.97	2
2013-12-20 03:20:00	13.76	-999.99	-999.99	.92	2
2013-12-20 03:30:00	13.51	-999.99	-999.99	1.03	2
2013-12-20 03:40:00	14.61	-999.99	-999.99	.92	2
2013-12-20 03:50:00	14.37	-999.99	-999.99	1.08	2
2013-12-20 04:00:00	14.03	-999.99	-999.99	1.15	2
2013-12-20 04:10:00	14.67	-999.99	-999.99	1.11	2
2013-12-20 04:20:00	14.69	-999.99	-999.99	.87	2
2013-12-20 04:30:00	14.76	-999.99	-999.99	.93	2
2013-12-20 04:40:00	14.66	-999.99	-999.99	1.05	2
2013-12-20 04:50:00	14.44	-999.99	-999.99	.86	2
2013-12-20 05:00:00	14.23	-999.99	-999.99	.94	2
2013-12-20 05:10:00	13.41	-999.99	-999.99	.77	2
2013-12-20 05:20:00	13.7	-999.99	-999.99	.77	2
2013-12-20 05:30:00	14.43	-999.99	-999.99	.94	2
2013-12-20 05:40:00	14.04	-999.99	-999.99	.91	2
2013-12-20 05:50:00	13.95	-999.99	-999.99	1.01	2
2013-12-20 06:00:00	13.99	-999.99	-999.99	.95	2
2013-12-20 06:10:00	14.22	-999.99	-999.99	1.12	2
2013-12-20 06:20:00	12.93	-999.99	-999.99	1.12	2
2013-12-20 06:30:00	13.32	-999.99	-999.99	.8	2
2013-12-20 06:40:00	11.11	-999.99	-999.99	.84	2
2013-12-20 06:50:00	10.67	-999.99	-999.99	.71	2
2013-12-20 07:00:00	11.72	-999.99	-999.99	.61	2
2013-12-20 07:10:00	12.19	-999.99	-999.99	1.05	2
2013-12-20 07:20:00	12.96	-999.99	-999.99	.74	2
2013-12-20 07:30:00	12.43	-999.99	-999.99	.9	2
2013-12-20 07:40:00	12.9	-999.99	-999.99	.82	2
2013-12-20 07:50:00	13.35	-999.99	-999.99	.75	2
2013-12-20 08:00:00	13.12	-999.99	-999.99	.83	2
2013-12-20 08:10:00	13.72	-999.99	-999.99	.88	2
2013-12-20 08:20:00	13.19	-999.99	-999.99	.71	2
2013-12-20 08:30:00	13.11	-999.99	-999.99	.77	2
2013-12-20 08:40:00	13.74	-999.99	-999.99	1.03	2
2013-12-20 08:50:00	13.19	-999.99	-999.99	.87	2
2013-12-20 09:00:00	13.62	-999.99	-999.99	.74	2
2013-12-20 09:10:00	13.12	-999.99	-999.99	.68	2
2013-12-20 09:20:00	12.25	-999.99	-999.99	.86	2
2013-12-20 09:30:00	13.47	-999.99	-999.99	.72	2
2013-12-20 09:40:00	13.29	-999.99	-999.99	.57	2
2013-12-20 09:50:00	13.84	-999.99	-999.99	.67	2
2013-12-20 10:00:00	13.89	-999.99	-999.99	.67	2
2013-12-20 10:10:00	14.04	-999.99	-999.99	.65	2
2013-12-20 10:20:00	12.68	-999.99	-999.99	.97	2
2013-12-20 10:30:00	14.04	-999.99	-999.99	.78	2
2013-12-20 10:40:00	14.79	-999.99	-999.99	.96	2
2013-12-20 10:50:00	14.48	-999.99	-999.99	.84	2
2013-12-20 11:00:00	14.92	-999.99	-999.99	.78	2
2013-12-20 11:10:00	13.57	-999.99	-999.99	1.11	2
2013-12-20 11:20:00	13.91	-999.99	-999.99	.83	2
2013-12-20 11:30:00	13.41	-999.99	-999.99	1.03	2
2013-12-20 11:40:00	14.12	-999.99	-999.99	1.47	2
2013-12-20 11:50:00	15.47	-999.99	-999.99	.9	2
2013-12-20 12:00:00	15.32	-999.99	-999.99	1.08	2
2013-12-20 12:10:00	14.13	-999.99	-999.99	1.12	2
2013-12-20 12:20:00	14.25	-999.99	-999.99	.88	2
2013-12-20 12:30:00	14.9	-999.99	-999.99	.97	2
2013-12-20 12:40:00	15.19	-999.99	-999.99	1.15	2
2013-12-20 12:50:00	14.5	-999.99	-999.99	.88	2
2013-12-20 13:00:00	14.16	-999.99	-999.99	.97	2
2013-12-20 13:10:00	14.39	-999.99	-999.99	1.05	2
2013-12-20 13:20:00	14.62	-999.99	-999.99	.95	2
2013-12-20 13:30:00	13.67	-999.99	-999.99	.85	2
2013-12-20 13:40:00	14.73	-999.99	-999.99	.83	2
2013-12-20 13:50:00	14.71	-999.99	-999.99	1.23	2
2013-12-20 14:00:00	15.28	-999.99	-999.99	1.1	2
2013-12-20 14:10:00	14.47	-999.99	-999.99	1.24	2
2013-12-20 14:20:00	13.74	-999.99	-999.99	1.04	2
2013-12-20 14:30:00	14.69	-999.99	-999.99	.9	2
2013-12-20 14:40:00	15.03	-999.99	-999.99	1.13	2
2013-12-20 14:50:00	15.54	-999.99	-999.99	.93	2
2013-12-20 15:00:00	14.61	-999.99	-999.99	.9	2
2013-12-20 15:10:00	14.6	-999.99	-999.99	.9	2
2013-12-20 15:20:00	13.68	-999.99	-999.99	1.05	2
2013-12-20 15:30:00	14.06	-999.99	-999.99	1.1	2
2013-12-20 15:40:00	13.58	-999.99	-999.99	.81	2
2013-12-20 15:50:00	13.56	-999.99	-999.99	.79	2
2013-12-20 16:00:00	14.13	-999.99	-999.99	.9	2
2013-12-20 16:10:00	14.25	-999.99	-999.99	1	2
2013-12-20 16:20:00	13.85	-999.99	-999.99	.99	2
2013-12-20 16:30:00	13.98	-999.99	-999.99	1.15	2
2013-12-20 16:40:00	13.84	-999.99	-999.99	1.35	2
2013-12-20 16:50:00	15.02	-999.99	-999.99	.84	2
2013-12-20 17:00:00	14.56	-999.99	-999.99	1.38	2
2013-12-20 17:10:00	15.51	-999.99	-999.99	1.07	2
2013-12-20 17:20:00	16.19	-999.99	-999.99	1.28	2
2013-12-20 17:30:00	15.47	-999.99	-999.99	1.12	2
2013-12-20 17:40:00	15.99	-999.99	-999.99	1.22	2
2013-12-20 17:50:00	15.99	-999.99	-999.99	1.17	2
2013-12-20 18:00:00	14.95	-999.99	-999.99	1.19	2
2013-12-20 18:10:00	15.96	-999.99	-999.99	1.21	2
2013-12-20 18:20:00	15.55	-999.99	-999.99	1.12	2
2013-12-20 18:30:00	15.71	-999.99	-999.99	1.17	2
