# Station: FINO1
# Parameter: Windrichtung_70m
# Unit: degree
# Titles:
Time	Value	Minimum	Maximum	Variance	Quality
# Data:
2013-12-20 00:00:00	195.69	-999.99	200.13	2.48	2
2013-12-20 00:10:00	191.89	-999.99	196.49	2.23	2
2013-12-20 00:20:00	192.92	-999.99	198.2	2.41	2
2013-12-20 00:30:00	194.59	-999.99	199.97	2.78	2
2013-12-20 00:40:00	194.46	-999.99	200.2	2.43	2
2013-12-20 00:50:00	193.47	-999.99	198.87	2.53	2
2013-12-20 01:00:00	194.62	-999.99	199.81	2.7	2
2013-12-20 01:10:00	193.27	-999.99	198.23	2.69	2
2013-12-20 01:20:00	191.89	-999.99	197.68	2.33	2
2013-12-20 01:30:00	189.6	-999.99	195.3	2.43	2
2013-12-20 01:40:00	191.63	-999.99	197.07	2.85	2
2013-12-20 01:50:00	194.24	-999.99	200.03	2.44	2
2013-12-20 02:00:00	194.11	-999.99	200.58	2.75	2
2013-12-20 02:10:00	194.98	-999.99	201.64	3	2
2013-12-20 02:20:00	193.92	-999.99	199.91	3.11	2
2013-12-20 02:30:00	194.66	-999.99	201.23	2.77	2
2013-12-20 02:40:00	194.14	-999.99	199.45	2.89	2
2013-12-20 02:50:00	196.81	-999.99	202.96	3.45	2
2013-12-20 03:00:00	197.1	-999.99	202.9	2.84	2
2013-12-20 03:10:00	196.94	-999.99	203.25	2.83	2
2013-12-20 03:20:00	196.52	-999.99	203.45	3.07	2
2013-12-20 03:30:00	196.59	-999.99	202.51	2.74	2
2013-12-20 03:40:00	191.98	-999.99	198.1	2.58	2
2013-12-20 03:50:00	193.5	-999.99	199.29	2.65	2
2013-12-20 04:00:00	197.91	-999.99	204.12	3.34	2
2013-12-20 04:10:00	201.97	-999.99	208.21	3.26	2
2013-12-20 04:20:00	203.09	-999.99	208.92	2.94	2
2013-12-20 04:30:00	206.76	-999.99	215.43	3.87	2
2013-12-20 04:40:00	209.79	-999.99	216.42	3.1	2
2013-12-20 04:50:00	208.86	-999.99	214.23	2.66	2
2013-12-20 05:00:00	208.08	-999.99	214.07	2.63	2
2013-12-20 05:10:00	210.11	-999.99	215.91	2.79	2
2013-12-20 05:20:00	208.34	-999.99	214.65	2.79	2
2013-12-20 05:30:00	209.31	-999.99	215.23	2.99	2
2013-12-20 05:40:00	208.18	-999.99	214.46	2.94	2
2013-12-20 05:50:00	211.66	-999.99	218.42	3.43	2
2013-12-20 06:00:00	213.01	-999.99	219.84	2.95	2
2013-12-20 06:10:00	213.56	-999.99	220	3.36	2
2013-12-20 06:20:00	214.91	-999.99	222.03	3.51	2
2013-12-20 06:30:00	217.39	-999.99	223.8	3.06	2
2013-12-20 06:40:00	226.12	-999.99	233.32	6.83	2
2013-12-20 06:50:00	247.21	-999.99	254.13	5.76	2
2013-12-20 07:00:00	245.76	-999.99	252.04	4.11	2
2013-12-20 07:10:00	242.54	-999.99	249.46	3.54	2
2013-12-20 07:20:00	242.09	-999.99	247.98	3.09	2
2013-12-20 07:30:00	237	-999.99	243.86	3.08	2
2013-12-20 07:40:00	239.99	-999.99	244.76	2.25	2
2013-12-20 07:50:00	238.26	-999.99	243.34	2.95	2
2013-12-20 08:00:00	242.28	-999.99	247.5	2.31	2
2013-12-20 08:10:00	239.67	-999.99	243.83	2.14	2
2013-12-20 08:20:00	237	-999.99	242.02	2.78	2
2013-12-20 08:30:00	240.57	-999.99	245.6	2.69	2
2013-12-20 08:40:00	237.61	-999.99	243.05	3.71	2
2013-12-20 08:50:00	237.23	-999.99	242.76	2.73	2
2013-12-20 09:00:00	235.74	-999.99	240.96	2.63	2
2013-12-20 09:10:00	234.97	-999.99	239.77	2.47	2
2013-12-20 09:20:00	235.71	-999.99	240.57	3.44	2
2013-12-20 09:30:00	233.88	-999.99	238.26	1.76	2
2013-12-20 09:40:00	235.94	-999.99	240.44	2.22	2
2013-12-20 09:50:00	233.14	-999.99	237.51	3.26	2
2013-12-20 10:00:00	230.85	-999.99	235.49	2.28	2
2013-12-20 10:10:00	231.2	-999.99	235.2	2.11	2
2013-12-20 10:20:00	234.04	-999.99	241.22	3.89	2
2013-12-20 10:30:00	236.48	-999.99	242.47	2.78	2
